Date,Australia,Austria,Belgium,Canada,Switzerland,Chile,Colombia,Czech Republic,Germany,Denmark,Euro area,Euro area (17 countries),Spain,Estonia,Finland,France,United Kingdom,Greece,Hungary,Ireland,Iceland,Israel,Italy,Japan,Korea,Lithuania,Luxembourg,Latvia,Mexico,Netherlands,Norway,New Zealand,OECD - Total,Poland,Portugal,Russia,Slovak Republic,Slovenia,Sweden,Turkey,United States,South Africa
2002-10-01,76.2262462733605,89.9152089698381,72.2306817862466,55.0864467707001,74.4143310209289,85.8025823658766,47.4935866951859,NA,95.9748477624264,85.8593729854123,94.8185318029261,97.1308481850228,102.575926678411,NA,84.5873375767559,77.932510560603,86.102684690545,132.340975621837,NA,139.794599046134,NA,61.4113081617982,109.102576980382,115.833007859539,86.5288137999225,NA,NA,NA,NA,133.840381473693,62.848298370323,54.5666465289775,94.570287525609,NA,141.847044055209,NA,NA,NA,55.5051781122746,NA,103.30881531185,52.2603449879647
2003-01-01,78.7796680999777,88.5877512243887,72.6017562910309,56.1061188188446,74.6297941000731,86.4947713478423,47.2390551049223,NA,95.8239391184886,85.0393430489122,95.6475209795011,98.3161474776459,106.26990495242,NA,85.2831384061743,79.430969328183,88.5135939926078,132.487572795342,NA,152.154478796649,NA,60.0821252288454,110.902642146756,114.059677636131,86.9983501395155,NA,NA,NA,NA,134.001011339092,62.0200170124839,56.537671712362,95.482897235591,NA,141.990345854253,NA,NA,NA,55.4930455482574,NA,104.606526722919,52.8162828455552
2003-04-01,82.3203387867487,88.0763657136256,73.298764665615,56.8048379438606,75.7527788358992,85.6276336134747,47.5750518922377,NA,96.9672197736781,85.2534925131908,96.5768413841349,100.194285856424,112.007100887917,NA,86.7378620934207,81.2022521983048,89.830525219903,130.277715467025,NA,160.960980593083,NA,60.6199621939775,113.194637986429,112.189095434418,88.260054709822,NA,NA,NA,NA,134.417789262249,60.8653343110785,58.3852558415152,96.5588754379208,NA,141.641259541545,NA,NA,NA,55.7427410528537,NA,105.882482503446,56.1520845373412
2003-07-01,86.5705225936047,86.8388463130588,74.4441539807929,57.6471075173429,76.1736209824658,86.4460924100057,47.2892986339636,NA,95.8259407119723,85.7507707357547,97.5639023790556,101.231284426832,115.279862963563,NA,89.7631632655572,83.1548176891099,90.9172319992942,130.729011281977,NA,173.279428878275,NA,62.2967999383148,115.475936730154,110.419654004408,89.0575949269616,NA,NA,NA,NA,133.540135905599,61.6916446785821,61.9557858764703,97.4684234071267,NA,141.198859619823,NA,NA,NA,56.1875660364869,NA,107.279114200196,62.73014541029
2003-10-01,88.6174894987813,90.409871334607,75.8638553028517,58.7816928006303,75.851451692803,86.4460644407549,48.6723259921457,NA,95.8090187836648,86.367037804937,98.7576379739978,102.846356750346,119.10801108379,NA,91.463778509566,85.5716139260468,93.0474051203112,130.061136444275,NA,176.176207607508,NA,61.7142550875245,117.602923923202,108.658147134401,89.7438504355146,NA,NA,NA,NA,134.821827688596,62.9733629708565,65.5111324262575,98.6504750192941,NA,140.688836995448,NA,NA,NA,57.3467388168985,NA,108.968317096267,71.8830921160403
2004-01-01,88.6259920191367,82.3435674227882,77.0222297740975,59.9617196346253,76.3459152768892,87.8741576506765,48.8096944116621,NA,95.7130064672523,87.872502874924,99.6363873620198,104.03157736054,123.259779039664,NA,93.3371895878586,88.4155447403518,94.588784102963,127.484013537813,NA,177.314864157338,NA,62.1995756587711,119.616002653074,106.996372823923,89.0371354617022,NA,NA,NA,NA,135.361414991848,65.8439112005486,66.9921529850419,99.6392550855978,NA,139.894293838515,NA,NA,NA,57.9845601035149,NA,110.760614113251,78.2449045440212
2004-04-01,86.8592810732675,86.3593764529572,77.5428006241001,61.0140356307377,77.1742045731406,88.1441690888244,49.6415856000442,NA,93.9016767145779,89.5561082234043,101.000598925049,104.89021237959,127.147747590504,NA,94.9688721343141,90.8174251793246,98.560825899479,126.43258809188,NA,179.759912703872,NA,62.2305354456254,121.190365808589,105.587741044952,88.2717913019186,NA,NA,NA,NA,135.793308750051,66.0266878185094,68.6112873666743,100.606201743827,NA,138.87029466461,NA,NA,NA,59.1985963745431,NA,112.465639789345,82.9628698232614
2004-07-01,86.3033924168886,83.8007766974145,79.690787879732,61.8778155216167,78.1591629504648,89.1294790877748,49.1642561496598,NA,92.9760227647257,91.5774965967797,102.269422908435,105.867310150478,130.57757442159,NA,95.0524750104341,93.3647806516085,101.294327914278,126.720687180389,NA,181.183593518988,NA,61.5520104083247,123.208115104398,104.178808732471,87.203195661259,NA,NA,NA,NA,135.850378396842,67.0191409345803,70.0257506872602,101.669662087031,NA,138.21032512527,NA,NA,NA,59.864276966818,NA,114.601543606225,88.2255585225962
2004-10-01,86.8279818144087,82.981656401458,81.6549121569157,62.7806592225029,78.1345953761213,91.5629332640706,52.3632006821509,NA,92.7907741960877,94.0962336168081,103.535756188123,107.028715286564,133.646993481299,NA,95.2822291638068,95.9785084199628,101.883173729078,127.878122618629,NA,178.570107655196,NA,61.7919763707418,124.886056637835,102.917717150675,86.4548917261545,NA,NA,NA,NA,136.027702790938,68.4724928402222,71.5192268973386,102.757454418189,NA,137.611578341227,NA,NA,NA,61.2880135306243,NA,116.824842479005,96.7104519465342
2005-01-01,87.2122211862719,82.7865771255395,84.2659643442919,64.024445446443,78.045169280845,91.502165354274,50.8685666262951,NA,95.1145822028074,97.1090587736674,104.826941927257,109.206726529335,137.279109500347,92.8603576171383,96.7735141407785,98.6578130074446,101.837718137181,130.84620999283501,NA,177.342289998836,121.664331320485,62.6685369967665,126.607389789709,101.714081896273,87.1346042492658,NA,NA,NA,75.6774317755987,136.362108352037,69.2459206439222,73.7490761392109,104.062827139653,NA,137.041643877897,NA,75.1467814717817,NA,61.2376434095904,NA,118.847656545436,103.336142164076
